Document Name : Outbound Reference Report,,,,,,,,,,,,,,,,
Warehouse : WHS01,,,,,,,,,,,,,,,,
Outbound Reference Report as of 03 Jun 2025 01:58:19 PM,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
No,BU,Job No,Delivery Date,Delivery Note,Section Code,Delivery To,Remark,Package Count,Plan Qty,Plan PID,Allocated PID,Total Package,Picked PID,Packed PID,Loaded PID,Status
73,PL AUTO,OUT202506000B7,03-Jun-2025 14:00:00,1275704-1,,PT SUGITY CREATIVES,SUGITY SEQ 2 TGL 03/06/25 (FACT 1),4,2000,80,0,0,0,0,80,Loaded
74,PL AUTO,OUT202506000B5,03-Jun-2025 09:00:00,1275703-1,,PT SUGITY CREATIVES,SUGITY SEQ 1 TGL 03/06/25 (FACT 1),2,1000,40,0,0,0,0,40,Loaded
75,PL AUTO,OUT202506000B4,03-Jun-2025 23:30:00,1275698-1,,PT SUGITY CREATIVES,SUGITY SEQ 4 TGL 03/06/25 (CBT),0,2000,80,0,0,0,0,0,NewJob
76,PL AUTO,OUT202506000AD,03-Jun-2025 21:00:00,1275701-1,,PT SUGITY CREATIVES,SUGITY SEQ 3 TGL 03/06/25 (CBT),0,600,24,0,0,0,0,0,NewJob
77,PL AUTO,OUT202506000A5,03-Jun-2025 21:00:00,1275697-1,,PT SUGITY CREATIVES,SUGITY SEQ 3 TGL 03/06/25 (CBT),0,3025,121,0,0,0,0,0,NewJob
78,PL AUTO,OUT202506000A2,03-Jun-2025 09:30:00,1275951-1,,PT SUGITY CREATIVES,SUGITY SEQ 1 TGL 03/06/25 (KRW),2,1000,40,0,0,0,0,40,Loaded
79,PL AUTO,OUT20250600094,03-Jun-2025 10:30:00,1275700-1,,PT SUGITY CREATIVES,SUGITY SEQ 2 TGL 03/06/25 (CBT),1,500,20,0,0,0,0,20,Loaded
80,PL AUTO,OUT2025060008F,03-Jun-2025 10:30:00,1275696-1,,PT SUGITY CREATIVES,SUGITY SEQ 2 TGL 03/06/25 (CBT),6,3000,120,0,0,0,0,120,Loaded
81,PL AUTO,OUT2025060008B,03-Jun-2025 08:00:00,1275699-1,,PT SUGITY CREATIVES,SUGITY SEQ 1 TGL 03/06/25 (CBT),5,2050,82,0,0,0,0,82,Loaded
82,PL AUTO,OUT20250600082,03-Jun-2025 08:00:00,1275695-1,,PT SUGITY CREATIVES,SUGITY SEQ 1 TGL 03/06/25 (CBT),6,2675,107,0,0,0,0,107,Loaded
83,PL AUTO,OUT20250600077,03-Jun-2025 08:30:00,72673,,PT RESIN PLATING TECHNOLOGY,RPT SEQ 1 TGL 03/06/25,2,1000,40,0,0,0,0,40,Loaded
84,PL AUTO,OUT20250600074,03-Jun-2025 08:30:00,72672,,PT RESIN PLATING TECHNOLOGY,RPT SEQ 1 TGL 03/06/25,2,1000,40,0,0,0,0,40,Loaded
85,PL AUTO,OUT2025060006F,03-Jun-2025 00:00:00,0082134902,,PT. EDS MANUFACTURING INDONESIA,PEMI TGL  3-Jun-25 TGR,8,3500,140,0,0,0,0,140,Loaded
86,TTI-AIM,OUT2025060005F,03-Jun-2025 09:46:00,82133056,,PT. SUZUKI INDOMOBIL MOTOR,SUZUKI TGL 03/6/25  CKR,1,300,2,0,0,0,0,2,Loaded
87,TTI-MACHINERY,OUT20250600054,03-Jun-2025 00:00:00,0082132717,,PT NSK BEARINGS MANUFACTURING,NSK MACHENERY TGL 03/6/25,1,600,105,0,0,0,0,9,Loaded
88,TTI-MACHINERY,OUT20250600050,03-Jun-2025 00:00:00,0082133216,,PT NSK BEARINGS MANUFACTURING,NSK MACHENERY TGL 03/6/25,2,50,50,0,0,0,0,50,Loaded
